textDisplay|classification_textblob
['youtube', 'tiempo', 'peor', 'ahora', 'tiempo', 'regreso', 'feliz']|1
['video', 'favorito', 'canal', 'excelente', 'trabajo', 'lt3']|1
['sufro', 'ansiedad', 'deadir', 'hacer', 'año', 'ir', 'racha', 'vez', 'mejor', 'vez', 'peorpero', 'bonito', 'jugar', 'celestir', 'ver', 'tratar', 'problema', 'tal', 'delicadeza']|1
['poder', 'creer', 'visto', 'video', 'tanto', 'largo', 'querer', 'hacer', 'clic', 'logo', 'youtube', 'quitar él', 'narración', 'llegar', 'cómo', 'juego', 'entonces']|1
['wow', 'persona', 'diagnosticado', 'ansiedad', 'ansiedad', 'social', 'escuchar', 'juego', 'llamar', 'atención', 'realmente', 'amé', 'análisis', 'sobrefondo', 'querer', 'probar él']|1
['video', 'llgo', 'nivel', 'tanto', 'profundo', 'rozar', 'ojo', 'final', 'alguien', 'padecer', 'ansiedad', 'actualmente', 'controlado', 'deber', 'decir', 'decir', 'video', 'verdad', 'in', 'duro', 'camino', 'recorrer', 'llegar', 'aceptación', 'propio', 'ser', 'propio', 'persona', 'lagrima', 'golpe', 'dolor', 'ir', 'negar él', 'embargo', 'ahora', 'mejor', 'tranquilo', 'aceptar', 'defecto', 'virtud', 'conquistar', 'montaña', 'celestebrpar', 'aquel', 'padecer', 'ansiedad', 'duro', 'camino', 'recorrer', 'rindan', 'calma', 'después', 'tormenta', 'mejor', 'ir', 'ocurir', 'vida', 'esperar', 'bonito', 'día', 'mando', 'fuerte', 'abrazo', 'bonito', 'día']|1
['sinceramente', 'dar', 'miedo', 'jugar', 'juego']|1
['vi', 'tanto', 'reflejado', 'madeline', 'sentir', 'seguro', 'ser', 'único', 'humano', 'sentir', 'así', 'nunca', 'apoyo', 'familia', 'detalle', 'videojuego', 'hacer', 'lograr', 'avanzar', 'vida', 'video', 'salir', 'lágrima', 'sigo', 'padecimiento', 'momento', 'alto', 'bajo', 'poder', 'seguir', 'entender', 'cerebro', 'funciono', 'hermoso', 'video']|1
['guapo', 'video', 'encanto', 'explicación', 'edición']|1
['celeste', 'luchar', 'temor', 'bajo', 'autoestima', 'seguir', 'adelante']|1
['juego', 'entretenerme', 'tratar', 'pedo', 'mental', 'we', 'mamado', 'transformer', 'celestir', 'mejor', 'juegue', 'postal', 'si', 'divertido', 'tratar', 'ansiedad', 'mejor']|1
