channelId,videoId,textDisplay,textOriginal,authorDisplayName,authorProfileImageUrl,authorChannelUrl,authorChannelId,canRate,viewerRating,likeCount,publishedAt,updatedAt,parentId,videojuego
UC05m1jT_pGm-DJKlpXsBYkA,V-QYwKgVIMY,doblaje extraordinario? xd quizas solo para españa quizas xd,doblaje extraordinario? xd quizas solo para españa quizas xd,@juanrobles7236,https://yt3.ggpht.com/ytc/AIf8zZTJQvZAYSErQJBWad10i-7UHodtsn300TIEKRitUg=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCFiAWrPWVr63h3Ty8MMAfuw,{'value': 'UCFiAWrPWVr63h3Ty8MMAfuw'},True,none,0,2022-11-04T03:15:15Z,2022-11-04T03:15:15Z,,Hi-Fi Rush
UC05m1jT_pGm-DJKlpXsBYkA,V-QYwKgVIMY,Eldeng ring dile adiós al goty,Eldeng ring dile adiós al goty,@edwarvillavicencio3150,https://yt3.ggpht.com/nxWlq5Vdkw3Nd4ESfa8uYioEFAeFB402RddEY7YKLgmIIYBElbSiU_wWU49fI5fUKJU5EtP3lLI=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCAMQmYtHB0VXoTk2WLRIvQw,{'value': 'UCAMQmYtHB0VXoTk2WLRIvQw'},True,none,0,2022-11-04T02:40:00Z,2022-11-04T02:40:00Z,,Hi-Fi Rush
UC05m1jT_pGm-DJKlpXsBYkA,V-QYwKgVIMY,Toma Microsoft!! A toda la yugular!!! EPICO!!!!,Toma Microsoft!! A toda la yugular!!! EPICO!!!!,@karloxpez2106,https://yt3.ggpht.com/ytc/AIf8zZQtNMcDMdLtF1m9gKr26RCmm7872NJSoZ7VXUnJ=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCbF0ex0wQCdCqY3fEBwGQRQ,{'value': 'UCbF0ex0wQCdCqY3fEBwGQRQ'},True,none,0,2022-11-04T02:20:22Z,2022-11-04T02:20:22Z,,Hi-Fi Rush
UC05m1jT_pGm-DJKlpXsBYkA,V-QYwKgVIMY,Mierda! Que capturadora usa esta gente para grabar?? No he visto ningun canal de gameplays en el que el juego se vea tan fluido los 60fps en youtube.. y eso que estoy en android.,Mierda! Que capturadora usa esta gente para grabar?? No he visto ningun canal de gameplays en el que el juego se vea tan fluido los 60fps en youtube.. y eso que estoy en android.,@nahuel_lopez_20,https://yt3.ggpht.com/-afi5jE4ysOGEoTzAMnXcTX-vmbrDdGEULaf0t03yBQaZdX9Ow0t9_wizjLrGgOne43ZlcWcQaw=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCABoDNiWf-zU6_GGDANhhsA,{'value': 'UCABoDNiWf-zU6_GGDANhhsA'},True,none,0,2022-11-04T02:15:46Z,2022-11-04T02:15:46Z,,Hi-Fi Rush
UC05m1jT_pGm-DJKlpXsBYkA,V-QYwKgVIMY,la voz de kratos en castellano es horrible,la voz de kratos en castellano es horrible,@jfcd1000,https://yt3.ggpht.com/ytc/AIf8zZSrm2FgKJDrbaKt-1tYSill6Ld-rzNQEs3pIcdw9w=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCPir3PlkugZjvBTrSCxa6lw,{'value': 'UCPir3PlkugZjvBTrSCxa6lw'},True,none,0,2022-11-04T01:59:51Z,2022-11-04T01:59:51Z,,Hi-Fi Rush
UC05m1jT_pGm-DJKlpXsBYkA,V-QYwKgVIMY,Suena horrible el castellano prefiero en mexicano o ingles,Suena horrible el castellano prefiero en mexicano o ingles,@juanthomasmarrero7440,https://yt3.ggpht.com/ytc/AIf8zZTPn2wQ5MpGnoJgp7h4_o9Bp3MXrCazym6M1g=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCTQ2jEPtpXElilDZUVH0iTg,{'value': 'UCTQ2jEPtpXElilDZUVH0iTg'},True,none,0,2022-11-04T01:37:23Z,2022-11-04T01:37:23Z,,Hi-Fi Rush
UC05m1jT_pGm-DJKlpXsBYkA,V-QYwKgVIMY,Juegue el 1ro en pc y me aburrio soberanamente;es mas cinematica que juego;no creo que este ragnarok sea diferente.,Juegue el 1ro en pc y me aburrio soberanamente;es mas cinematica que juego;no creo que este ragnarok sea diferente.,@josan6944,https://yt3.ggpht.com/ytc/AIf8zZRA6bwZ7Dy4r_MrTxLYJFSa1peswA4DcWpDnDEI=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCGcSlKUtzlzQbwA_FhXa2Mg,{'value': 'UCGcSlKUtzlzQbwA_FhXa2Mg'},True,none,0,2022-11-04T01:23:30Z,2022-11-04T01:23:30Z,,Hi-Fi Rush
UC05m1jT_pGm-DJKlpXsBYkA,V-QYwKgVIMY,The best game of the world,The best game of the world,@relvispedroechemendiacunil2570,https://yt3.ggpht.com/Fome-QClk2FX3KbyBMXUcSzT9SpGqsABmpzpxaYGwOMtHpB_iuqMkb8Z_AZjZp7Z4fjGdddlT7o=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCoZk4xbcw4GlJQjeXhP_Hcg,{'value': 'UCoZk4xbcw4GlJQjeXhP_Hcg'},True,none,0,2022-11-04T01:19:11Z,2022-11-04T01:19:11Z,,Hi-Fi Rush
UC05m1jT_pGm-DJKlpXsBYkA,V-QYwKgVIMY,"Muy bueno, pero me hubiera gustado más potencia gráfica:( . Creo que ya se está estancando . Lo bueno es que ya saldrá la ps6","Muy bueno, pero me hubiera gustado más potencia gráfica:( . Creo que ya se está estancando . Lo bueno es que ya saldrá la ps6",@capitanwinters4422,https://yt3.ggpht.com/ytc/AIf8zZQUdSMKSAgC81odxHA03wM_gAOsF5hFM5dy8ZFv=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UC6hAfPOAAfn1AAhnLZNQ8pw,{'value': 'UC6hAfPOAAfn1AAhnLZNQ8pw'},True,none,2,2022-11-04T01:14:06Z,2022-11-04T01:14:06Z,,Hi-Fi Rush
UC05m1jT_pGm-DJKlpXsBYkA,V-QYwKgVIMY,Me trague muchos spoilers viendo otros análisis menos mal que aquí no hay.,Me trague muchos spoilers viendo otros análisis menos mal que aquí no hay.,@pipe98A,https://yt3.ggpht.com/ytc/AIf8zZTbjHZvUZUwgJGUIuy3-tZw8keZ6-v6E4emcZui=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCurNzohe3b5A5xa_qz3KT3A,{'value': 'UCurNzohe3b5A5xa_qz3KT3A'},True,none,1,2022-11-04T01:04:46Z,2022-11-04T01:04:46Z,,Hi-Fi Rush
