channelId,videoId,textDisplay,textOriginal,authorDisplayName,authorProfileImageUrl,authorChannelUrl,authorChannelId,canRate,viewerRating,likeCount,publishedAt,updatedAt,parentId
UC05m1jT_pGm-DJKlpXsBYkA,sfGLzac6QIs,El señor de los anillos tienes tela para hacer juegos espectaculares y si puede que sea ignorante pero aún no le han sacado provecho a esa historia. Desde que vi que iban hacer este juego lo dije va a ser malo.,El señor de los anillos tienes tela para hacer juegos espectaculares y si puede que sea ignorante pero aún no le han sacado provecho a esa historia. Desde que vi que iban hacer este juego lo dije va a ser malo.,@xxjesslagxx9990,https://yt3.ggpht.com/ytc/AIf8zZSDB6B6MVUqxiZJ_okGoh4AIpCIfaLF1nS4X2Eh=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCGeuskc7bk8OIr4pz9gNH4w,{'value': 'UCGeuskc7bk8OIr4pz9gNH4w'},True,none,0,2023-05-25T17:40:16Z,2023-05-25T17:40:16Z,
UC05m1jT_pGm-DJKlpXsBYkA,sfGLzac6QIs,recuerdo la saga que salio en ps2 era increible literal te sentias que estabas rodando una escena del señor de los anillos es a eso a lo que deben apuntar los videojuegos,recuerdo la saga que salio en ps2 era increible literal te sentias que estabas rodando una escena del señor de los anillos es a eso a lo que deben apuntar los videojuegos,@beccamguille8570,https://yt3.ggpht.com/OKXSCAeGlKWpFbyHcx_OHqyY7c0ChlADjjsNAIen4HhYTAfzhz6HsRCfmvVLtu1WDXpbyu9sj7o=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCLl085rceIIfgupDHT9hOqg,{'value': 'UCLl085rceIIfgupDHT9hOqg'},True,none,23,2023-05-25T17:21:11Z,2023-05-25T17:21:11Z,
UC05m1jT_pGm-DJKlpXsBYkA,,No digas eso en un foro de Tolkien. Ese juego se inventa un montón de vainas que no están en los libros.,No digas eso en un foro de Tolkien. Ese juego se inventa un montón de vainas que no están en los libros.,@keppler-1349,https://yt3.ggpht.com/ytc/AIf8zZRwWqht0nuh2iEz-0nX9dbGO4IxUi6PYVAByacDvg=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@keppler-1349,{'value': 'UCssJWgAmO8zanogqC7KP2Tw'},True,none,0,2023-05-26T11:18:56Z,2023-05-26T11:18:56Z,UgwAXnLVFTcel8GLwst4AaABAg
UC05m1jT_pGm-DJKlpXsBYkA,,@@keppler-1349 los videojuegos siempre optan por contar otra visión de las cosas y los personajes a menudo no tienen los mismos rostros que los de las películas..,@@keppler-1349 los videojuegos siempre optan por contar otra visión de las cosas y los personajes a menudo no tienen los mismos rostros que los de las películas..,@beccamguille8570,https://yt3.ggpht.com/OKXSCAeGlKWpFbyHcx_OHqyY7c0ChlADjjsNAIen4HhYTAfzhz6HsRCfmvVLtu1WDXpbyu9sj7o=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@beccamguille8570,{'value': 'UCLl085rceIIfgupDHT9hOqg'},True,none,1,2023-05-26T12:05:35Z,2023-05-26T12:05:35Z,UgwAXnLVFTcel8GLwst4AaABAg
UC05m1jT_pGm-DJKlpXsBYkA,,O sombras de guerra que igual fue una buena historia,O sombras de guerra que igual fue una buena historia,@DanielFernandez-zn2bv,https://yt3.ggpht.com/ytc/AIf8zZSA3DvzvONqZgIMoQTRH_-TjKFfAwyoANNGrg=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@DanielFernandez-zn2bv,{'value': 'UCod-yeoVHAOstkbHBcuif9g'},True,none,0,2023-05-29T14:26:50Z,2023-05-29T14:26:50Z,UgwAXnLVFTcel8GLwst4AaABAg
UC05m1jT_pGm-DJKlpXsBYkA,,@@DanielFernandez-zn2bv ese es actual lo tengo pendiente de jugar,@@DanielFernandez-zn2bv ese es actual lo tengo pendiente de jugar,@beccamguille8570,https://yt3.ggpht.com/OKXSCAeGlKWpFbyHcx_OHqyY7c0ChlADjjsNAIen4HhYTAfzhz6HsRCfmvVLtu1WDXpbyu9sj7o=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@beccamguille8570,{'value': 'UCLl085rceIIfgupDHT9hOqg'},True,none,0,2023-05-29T15:10:29Z,2023-05-29T15:10:29Z,UgwAXnLVFTcel8GLwst4AaABAg
UC05m1jT_pGm-DJKlpXsBYkA,,"@Keppler - 134 Eso es lo de menos, Kakarot y Xenoverse 2 tienen harto relleno y ningún fan de Dragon Ball se queja de que en esos juegos haya momentos que no sean canon, de hecho le agregan originalidad al titulo y hacen que tenga cierto atractivo jugarlos por más que conozcas de sobra la historia y que no sea más de lo mismo","@Keppler - 134 Eso es lo de menos, Kakarot y Xenoverse 2 tienen harto relleno y ningún fan de Dragon Ball se queja de que en esos juegos haya momentos que no sean canon, de hecho le agregan originalidad al titulo y hacen que tenga cierto atractivo jugarlos por más que conozcas de sobra la historia y que no sea más de lo mismo",@javierg.5418,https://yt3.ggpht.com/ytc/AIf8zZRfWYO_pCLVUNP_MxMN8pPn7MGLyvKfTiq7Ig3nhA=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@javierg.5418,{'value': 'UC6qancBt8v9Kx4L08QgEk3w'},True,none,1,2023-06-01T06:57:37Z,2023-06-01T06:57:37Z,UgwAXnLVFTcel8GLwst4AaABAg
UC05m1jT_pGm-DJKlpXsBYkA,sfGLzac6QIs,Que manera de lapidar el nombre del Señor de los Anillos. No hay juego bueno desde el retorno del rey de PS2.,Que manera de lapidar el nombre del Señor de los Anillos. No hay juego bueno desde el retorno del rey de PS2.,@MiguelMartinez-oq7vq,https://yt3.ggpht.com/ytc/AIf8zZQ0XtYazwEwG5xtcamb7MsLt-qMAtFLinCk_LPN9w=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCsnqs4CdVKbD8CkdlebXwoA,{'value': 'UCsnqs4CdVKbD8CkdlebXwoA'},True,none,0,2023-05-25T17:07:14Z,2023-05-25T17:07:14Z,
UC05m1jT_pGm-DJKlpXsBYkA,sfGLzac6QIs,Es malo cuando llegue a ps plus lo jugare,Es malo cuando llegue a ps plus lo jugare,@gustavocuicas4667,https://yt3.ggpht.com/ytc/AIf8zZQFG0j2YY6jV1C1eiZEBl6NE_aEbQMt99FuPOT80g=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCYa4zpRGCo3Nhkb_T2ZeU0w,{'value': 'UCYa4zpRGCo3Nhkb_T2ZeU0w'},True,none,0,2023-05-25T17:06:04Z,2023-05-25T17:06:04Z,
UC05m1jT_pGm-DJKlpXsBYkA,sfGLzac6QIs,es el del canal random el que locuta?,es el del canal random el que locuta?,@berserk046,https://yt3.ggpht.com/ytc/AIf8zZQiypVPLm_GZdlFFyheUxTiGVXJMq2sgWK07pRd=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCKwzO5A8bB5hHILvVXFp8oQ,{'value': 'UCKwzO5A8bB5hHILvVXFp8oQ'},True,none,0,2023-05-25T16:55:02Z,2023-05-25T16:55:02Z,
